,D,E,C,I,B,H,J,F,A,G
D,0.0,75.0,45.0,46.0,45.0,83.0,40.0,42.0,68.0,32.0
E,0.0,0.0,16.0,19.0,40.0,98.0,42.0,37.0,75.0,34.0
C,0.0,0.0,0.0,14.0,42.0,54.0,11.0,47.0,61.0,14.0
I,0.0,0.0,0.0,0.0,675.0,110.0,220.0,698.0,120.0,159.0
B,0.0,0.0,0.0,0.0,0.0,108.0,109.0,584.0,149.0,171.0
H,0.0,0.0,0.0,0.0,0.0,0.0,15.0,42.0,93.0,28.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,66.0,13.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,94.0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
